Event Type,Event Size (Attendees),Event Duration (Days),Event Schedule (Start - End),Event Date (Start),Event Date (End),"Participant Demographics (Age, Location, Interests)","Participant Engagement Metrics (Attendance, Feedback)"
Trade Show,2638,4,12:00 - 22:00,2025-01-14,2025-01-17,"30-60, Bangalore, Education","75%, Neutral"
Trade Show,2670,1,10:00 - 18:00,2024-12-02,2024-12-02,"18-25, Indore, Tech","95%, Positive"
Seminar,87,3,09:00 - 17:00,2024-11-23,2024-11-25,"30-60, Bangalore, Education","85%, Positive"
Festival,5928,4,14:00 - 20:00,2024-10-21,2024-10-24,"20-45, Mumbai, Sports","75%, Neutral"
Seminar,899,4,10:00 - 18:00,2024-12-22,2024-12-25,"30-60, Bangalore, Education","85%, Positive"
Conference,523,4,10:00 - 18:00,2025-01-12,2025-01-15,"20-45, Mumbai, Sports","80%, Negative"
Trade Show,2320,2,14:00 - 20:00,2025-01-04,2025-01-05,"18-25, Indore, Tech","85%, Positive"
Trade Show,969,3,12:00 - 22:00,2024-12-21,2024-12-23,"18-35, Maharashtra, Arts","75%, Neutral"
Trade Show,2403,4,12:00 - 22:00,2025-01-19,2025-01-22,"18-25, Indore, Tech","80%, Negative"
Festival,1036,3,12:00 - 22:00,2025-01-19,2025-01-21,"20-45, Mumbai, Sports","80%, Negative"
Seminar,489,1,10:00 - 18:00,2024-12-23,2024-12-23,"20-45, Mumbai, Sports","95%, Positive"
Conference,1029,4,10:00 - 18:00,2024-11-10,2024-11-13,"18-25, Indore, Tech","80%, Negative"
Seminar,377,2,12:00 - 22:00,2024-11-28,2024-11-29,"18-35, Maharashtra, Arts","80%, Negative"
Trade Show,1585,2,10:00 - 18:00,2024-12-23,2024-12-24,"25-50, Delhi, Business","95%, Positive"
Festival,5052,1,14:00 - 20:00,2025-01-18,2025-01-18,"30-60, Bangalore, Education","95%, Positive"
Seminar,1133,3,12:00 - 22:00,2025-01-08,2025-01-10,"20-45, Mumbai, Sports","95%, Positive"
Seminar,1108,3,09:00 - 17:00,2024-11-20,2024-11-22,"18-35, Maharashtra, Arts","70%, Negative"
Conference,938,2,09:00 - 17:00,2024-10-05,2024-10-06,"18-35, Maharashtra, Arts","75%, Neutral"
Seminar,923,3,10:00 - 18:00,2024-10-31,2024-11-02,"18-25, Indore, Tech","80%, Negative"
Seminar,550,3,09:00 - 17:00,2025-01-26,2025-01-28,"20-45, Mumbai, Sports","75%, Neutral"
Seminar,207,1,10:00 - 18:00,2024-11-12,2024-11-12,"20-45, Mumbai, Sports","95%, Positive"
Conference,1538,4,09:00 - 17:00,2024-12-24,2024-12-27,"30-60, Bangalore, Education","75%, Neutral"
Trade Show,1500,4,10:00 - 18:00,2024-11-12,2024-11-15,"20-45, Mumbai, Sports","80%, Negative"
Festival,3092,1,10:00 - 18:00,2024-12-20,2024-12-20,"18-35, Maharashtra, Arts","80%, Negative"
Conference,1023,4,10:00 - 18:00,2024-12-13,2024-12-16,"20-45, Mumbai, Sports","75%, Neutral"
Trade Show,844,2,10:00 - 18:00,2024-10-11,2024-10-12,"25-50, Delhi, Business","95%, Positive"
Seminar,1115,1,10:00 - 18:00,2024-12-03,2024-12-03,"25-50, Delhi, Business","95%, Positive"
Seminar,342,1,09:00 - 17:00,2024-11-04,2024-11-04,"30-60, Bangalore, Education","95%, Positive"
Seminar,1046,2,09:00 - 17:00,2024-12-26,2024-12-27,"25-50, Delhi, Business","85%, Positive"
Conference,389,2,09:00 - 17:00,2024-12-17,2024-12-18,"18-35, Maharashtra, Arts","85%, Positive"
Trade Show,2190,2,14:00 - 20:00,2024-11-06,2024-11-07,"25-50, Delhi, Business","80%, Negative"
Trade Show,1125,3,14:00 - 20:00,2025-01-21,2025-01-23,"25-50, Delhi, Business","80%, Negative"
Seminar,224,4,10:00 - 18:00,2024-10-10,2024-10-13,"30-60, Bangalore, Education","95%, Positive"
Trade Show,935,4,10:00 - 18:00,2024-10-11,2024-10-14,"30-60, Bangalore, Education","75%, Neutral"
Conference,445,4,10:00 - 18:00,2024-11-20,2024-11-23,"30-60, Bangalore, Education","70%, Negative"
Trade Show,1377,1,12:00 - 22:00,2024-12-17,2024-12-17,"20-45, Mumbai, Sports","75%, Neutral"
Trade Show,1059,1,10:00 - 18:00,2024-11-16,2024-11-16,"30-60, Bangalore, Education","80%, Negative"
Festival,6178,1,14:00 - 20:00,2025-01-19,2025-01-19,"30-60, Bangalore, Education","75%, Neutral"
Trade Show,1467,2,10:00 - 18:00,2024-11-30,2024-12-01,"18-25, Indore, Tech","75%, Neutral"
Conference,1269,3,09:00 - 17:00,2024-11-30,2024-12-02,"18-25, Indore, Tech","85%, Positive"
Seminar,193,2,10:00 - 18:00,2024-12-08,2024-12-09,"18-35, Maharashtra, Arts","85%, Positive"
Trade Show,1200,3,10:00 - 18:00,2024-11-04,2024-11-06,"18-35, Maharashtra, Arts","95%, Positive"
Conference,519,4,09:00 - 17:00,2024-11-03,2024-11-06,"18-25, Indore, Tech","95%, Positive"
Seminar,123,1,09:00 - 17:00,2024-11-13,2024-11-13,"25-50, Delhi, Business","70%, Negative"
Festival,5509,3,10:00 - 18:00,2024-10-30,2024-11-01,"18-35, Maharashtra, Arts","85%, Positive"
Trade Show,1331,4,14:00 - 20:00,2025-01-01,2025-01-04,"20-45, Mumbai, Sports","95%, Positive"
Conference,1205,3,09:00 - 17:00,2024-11-30,2024-12-02,"18-25, Indore, Tech","75%, Neutral"
Seminar,544,3,09:00 - 17:00,2024-12-10,2024-12-12,"18-25, Indore, Tech","95%, Positive"
Trade Show,2815,3,12:00 - 22:00,2025-01-26,2025-01-28,"20-45, Mumbai, Sports","80%, Negative"
Conference,1028,2,10:00 - 18:00,2024-12-16,2024-12-17,"30-60, Bangalore, Education","85%, Positive"
Trade Show,2335,3,14:00 - 20:00,2025-01-26,2025-01-28,"18-35, Maharashtra, Arts","95%, Positive"
Festival,2059,2,09:00 - 17:00,2024-11-19,2024-11-20,"25-50, Delhi, Business","85%, Positive"
Festival,5660,4,12:00 - 22:00,2024-10-18,2024-10-21,"20-45, Mumbai, Sports","95%, Positive"
Trade Show,1373,2,12:00 - 22:00,2025-01-28,2025-01-29,"30-60, Bangalore, Education","85%, Positive"
Seminar,199,3,09:00 - 17:00,2024-12-08,2024-12-10,"30-60, Bangalore, Education","75%, Neutral"
Trade Show,2322,3,14:00 - 20:00,2024-10-29,2024-10-31,"20-45, Mumbai, Sports","85%, Positive"
Festival,5744,1,10:00 - 18:00,2024-11-10,2024-11-10,"20-45, Mumbai, Sports","70%, Negative"
Conference,1377,4,09:00 - 17:00,2025-01-06,2025-01-09,"20-45, Mumbai, Sports","70%, Negative"
Seminar,788,3,09:00 - 17:00,2024-10-27,2024-10-29,"18-25, Indore, Tech","85%, Positive"
Conference,880,4,10:00 - 18:00,2024-12-02,2024-12-05,"25-50, Delhi, Business","70%, Negative"
Trade Show,1084,2,10:00 - 18:00,2024-12-05,2024-12-06,"18-25, Indore, Tech","75%, Neutral"
Conference,577,4,09:00 - 17:00,2024-12-08,2024-12-11,"18-35, Maharashtra, Arts","70%, Negative"
Festival,2439,2,10:00 - 18:00,2025-01-08,2025-01-09,"20-45, Mumbai, Sports","70%, Negative"
Conference,784,4,09:00 - 17:00,2024-12-20,2024-12-23,"18-35, Maharashtra, Arts","85%, Positive"
Seminar,597,3,12:00 - 22:00,2024-12-07,2024-12-09,"30-60, Bangalore, Education","80%, Negative"
Festival,1220,3,10:00 - 18:00,2024-12-21,2024-12-23,"20-45, Mumbai, Sports","80%, Negative"
Trade Show,1955,3,14:00 - 20:00,2025-01-02,2025-01-04,"25-50, Delhi, Business","75%, Neutral"
Trade Show,2786,3,10:00 - 18:00,2025-01-04,2025-01-06,"18-35, Maharashtra, Arts","85%, Positive"
Trade Show,606,3,14:00 - 20:00,2024-12-22,2024-12-24,"18-35, Maharashtra, Arts","95%, Positive"
Festival,5508,3,12:00 - 22:00,2024-10-24,2024-10-26,"30-60, Bangalore, Education","80%, Negative"
Seminar,313,2,10:00 - 18:00,2025-01-09,2025-01-10,"25-50, Delhi, Business","80%, Negative"
Seminar,423,1,09:00 - 17:00,2025-01-10,2025-01-10,"20-45, Mumbai, Sports","70%, Negative"
Seminar,546,1,09:00 - 17:00,2024-12-05,2024-12-05,"20-45, Mumbai, Sports","95%, Positive"
Trade Show,599,3,12:00 - 22:00,2024-10-02,2024-10-04,"30-60, Bangalore, Education","70%, Negative"
Conference,1400,3,10:00 - 18:00,2025-01-27,2025-01-29,"18-25, Indore, Tech","75%, Neutral"
Trade Show,2235,2,14:00 - 20:00,2024-11-26,2024-11-27,"18-25, Indore, Tech","85%, Positive"
Seminar,1107,3,10:00 - 18:00,2024-12-11,2024-12-13,"18-35, Maharashtra, Arts","75%, Neutral"
Trade Show,2119,2,14:00 - 20:00,2024-10-28,2024-10-29,"25-50, Delhi, Business","85%, Positive"
Conference,988,4,10:00 - 18:00,2025-01-24,2025-01-27,"18-25, Indore, Tech","75%, Neutral"
Festival,6417,2,09:00 - 17:00,2025-01-18,2025-01-19,"20-45, Mumbai, Sports","85%, Positive"
Festival,2064,4,09:00 - 17:00,2025-01-22,2025-01-25,"18-25, Indore, Tech","80%, Negative"
Festival,2364,2,14:00 - 20:00,2024-11-12,2024-11-13,"20-45, Mumbai, Sports","95%, Positive"
Trade Show,892,1,10:00 - 18:00,2024-10-08,2024-10-08,"30-60, Bangalore, Education","85%, Positive"
Festival,4676,2,09:00 - 17:00,2024-11-26,2024-11-27,"30-60, Bangalore, Education","95%, Positive"
Seminar,156,2,09:00 - 17:00,2024-11-21,2024-11-22,"20-45, Mumbai, Sports","85%, Positive"
Festival,2343,1,09:00 - 17:00,2024-10-25,2024-10-25,"25-50, Delhi, Business","85%, Positive"
Trade Show,1549,3,10:00 - 18:00,2024-10-17,2024-10-19,"25-50, Delhi, Business","85%, Positive"
Seminar,514,2,09:00 - 17:00,2025-01-09,2025-01-10,"25-50, Delhi, Business","70%, Negative"
Festival,6928,2,09:00 - 17:00,2024-12-22,2024-12-23,"18-35, Maharashtra, Arts","80%, Negative"
Seminar,500,2,10:00 - 18:00,2024-12-10,2024-12-11,"20-45, Mumbai, Sports","75%, Neutral"
Festival,4471,3,09:00 - 17:00,2024-12-14,2024-12-16,"18-35, Maharashtra, Arts","80%, Negative"
Conference,603,3,10:00 - 18:00,2024-12-18,2024-12-20,"20-45, Mumbai, Sports","85%, Positive"
Conference,861,3,09:00 - 17:00,2024-10-10,2024-10-12,"18-25, Indore, Tech","95%, Positive"
Seminar,454,2,12:00 - 22:00,2024-12-30,2024-12-31,"18-35, Maharashtra, Arts","80%, Negative"
Seminar,789,4,12:00 - 22:00,2025-01-12,2025-01-15,"30-60, Bangalore, Education","75%, Neutral"
Trade Show,1409,3,14:00 - 20:00,2024-11-01,2024-11-03,"30-60, Bangalore, Education","80%, Negative"
Festival,1675,4,14:00 - 20:00,2024-11-19,2024-11-22,"30-60, Bangalore, Education","75%, Neutral"
Festival,4451,4,14:00 - 20:00,2025-01-13,2025-01-16,"20-45, Mumbai, Sports","70%, Negative"
Festival,1787,1,14:00 - 20:00,2024-10-31,2024-10-31,"30-60, Bangalore, Education","70%, Negative"
Conference,1911,4,10:00 - 18:00,2024-12-03,2024-12-06,"18-25, Indore, Tech","75%, Neutral"
Festival,1525,1,09:00 - 17:00,2024-11-02,2024-11-02,"20-45, Mumbai, Sports","80%, Negative"
Conference,1494,3,10:00 - 18:00,2024-10-04,2024-10-06,"18-25, Indore, Tech","75%, Neutral"
Seminar,791,2,09:00 - 17:00,2024-11-21,2024-11-22,"30-60, Bangalore, Education","95%, Positive"
Trade Show,676,3,14:00 - 20:00,2024-12-08,2024-12-10,"18-35, Maharashtra, Arts","95%, Positive"
Conference,666,2,09:00 - 17:00,2024-12-03,2024-12-04,"18-35, Maharashtra, Arts","75%, Neutral"
Festival,5243,2,12:00 - 22:00,2025-01-18,2025-01-19,"30-60, Bangalore, Education","85%, Positive"
Trade Show,2994,4,10:00 - 18:00,2024-12-05,2024-12-08,"30-60, Bangalore, Education","85%, Positive"
Seminar,377,4,10:00 - 18:00,2024-12-02,2024-12-05,"18-25, Indore, Tech","70%, Negative"
Trade Show,2600,2,14:00 - 20:00,2024-12-15,2024-12-16,"20-45, Mumbai, Sports","95%, Positive"
Festival,1288,2,14:00 - 20:00,2024-12-21,2024-12-22,"18-35, Maharashtra, Arts","80%, Negative"
Seminar,701,1,12:00 - 22:00,2024-12-20,2024-12-20,"25-50, Delhi, Business","95%, Positive"
Festival,4171,3,09:00 - 17:00,2024-11-16,2024-11-18,"18-25, Indore, Tech","75%, Neutral"
Conference,1440,3,09:00 - 17:00,2025-01-05,2025-01-07,"18-25, Indore, Tech","80%, Negative"
Festival,2203,4,09:00 - 17:00,2025-01-05,2025-01-08,"30-60, Bangalore, Education","75%, Neutral"
Conference,1526,2,10:00 - 18:00,2024-10-21,2024-10-22,"30-60, Bangalore, Education","95%, Positive"
Festival,3098,1,10:00 - 18:00,2024-10-25,2024-10-25,"30-60, Bangalore, Education","95%, Positive"
Seminar,1129,2,12:00 - 22:00,2024-10-18,2024-10-19,"30-60, Bangalore, Education","75%, Neutral"
Seminar,887,1,09:00 - 17:00,2024-10-20,2024-10-20,"18-25, Indore, Tech","95%, Positive"
Festival,1103,1,09:00 - 17:00,2024-12-19,2024-12-19,"25-50, Delhi, Business","75%, Neutral"
Trade Show,2999,3,12:00 - 22:00,2024-10-19,2024-10-21,"18-25, Indore, Tech","75%, Neutral"
Trade Show,2025,4,14:00 - 20:00,2024-11-09,2024-11-12,"20-45, Mumbai, Sports","80%, Negative"
Seminar,274,3,09:00 - 17:00,2025-01-11,2025-01-13,"25-50, Delhi, Business","75%, Neutral"
Conference,1903,2,09:00 - 17:00,2024-11-03,2024-11-04,"20-45, Mumbai, Sports","95%, Positive"
Trade Show,1748,4,14:00 - 20:00,2024-11-14,2024-11-17,"25-50, Delhi, Business","70%, Negative"
Conference,394,4,09:00 - 17:00,2025-01-21,2025-01-24,"18-35, Maharashtra, Arts","75%, Neutral"
Seminar,336,2,09:00 - 17:00,2024-12-14,2024-12-15,"18-35, Maharashtra, Arts","70%, Negative"
Conference,433,4,09:00 - 17:00,2025-01-26,2025-01-29,"20-45, Mumbai, Sports","95%, Positive"
Trade Show,2959,1,14:00 - 20:00,2024-11-10,2024-11-10,"25-50, Delhi, Business","95%, Positive"
Seminar,724,1,10:00 - 18:00,2025-01-11,2025-01-11,"18-35, Maharashtra, Arts","80%, Negative"
Conference,688,2,10:00 - 18:00,2024-11-17,2024-11-18,"18-25, Indore, Tech","70%, Negative"
Conference,319,3,10:00 - 18:00,2024-12-22,2024-12-24,"18-35, Maharashtra, Arts","85%, Positive"
Festival,6960,2,09:00 - 17:00,2024-10-10,2024-10-11,"18-35, Maharashtra, Arts","85%, Positive"
Conference,1969,4,10:00 - 18:00,2025-01-20,2025-01-23,"18-35, Maharashtra, Arts","85%, Positive"
Seminar,737,1,10:00 - 18:00,2024-10-02,2024-10-02,"18-25, Indore, Tech","95%, Positive"
Conference,1139,4,10:00 - 18:00,2024-12-10,2024-12-13,"18-35, Maharashtra, Arts","75%, Neutral"
Festival,3051,3,14:00 - 20:00,2025-01-11,2025-01-13,"18-25, Indore, Tech","95%, Positive"
Conference,988,4,09:00 - 17:00,2024-10-29,2024-11-01,"18-25, Indore, Tech","95%, Positive"
Festival,6626,4,10:00 - 18:00,2025-01-11,2025-01-14,"30-60, Bangalore, Education","80%, Negative"
Conference,692,2,09:00 - 17:00,2024-11-19,2024-11-20,"30-60, Bangalore, Education","85%, Positive"
Festival,1897,3,10:00 - 18:00,2025-01-10,2025-01-12,"30-60, Bangalore, Education","70%, Negative"
Trade Show,2945,1,14:00 - 20:00,2025-01-30,2025-01-30,"18-35, Maharashtra, Arts","75%, Neutral"
Conference,1191,2,09:00 - 17:00,2024-11-10,2024-11-11,"30-60, Bangalore, Education","80%, Negative"
Seminar,1016,1,09:00 - 17:00,2024-11-17,2024-11-17,"18-35, Maharashtra, Arts","70%, Negative"
Seminar,1109,2,12:00 - 22:00,2024-12-24,2024-12-25,"18-25, Indore, Tech","95%, Positive"
Festival,1716,3,09:00 - 17:00,2025-01-26,2025-01-28,"30-60, Bangalore, Education","70%, Negative"
Conference,834,2,09:00 - 17:00,2024-10-29,2024-10-30,"30-60, Bangalore, Education","80%, Negative"
Trade Show,1207,4,10:00 - 18:00,2025-01-04,2025-01-07,"20-45, Mumbai, Sports","85%, Positive"
Festival,1629,1,12:00 - 22:00,2024-11-07,2024-11-07,"18-35, Maharashtra, Arts","95%, Positive"
Festival,1192,2,10:00 - 18:00,2024-12-10,2024-12-11,"25-50, Delhi, Business","95%, Positive"
Seminar,989,2,10:00 - 18:00,2025-01-15,2025-01-16,"30-60, Bangalore, Education","75%, Neutral"
Conference,1039,2,10:00 - 18:00,2024-11-26,2024-11-27,"30-60, Bangalore, Education","75%, Neutral"
Conference,1078,2,10:00 - 18:00,2025-01-04,2025-01-05,"30-60, Bangalore, Education","85%, Positive"
Trade Show,676,1,10:00 - 18:00,2024-10-13,2024-10-13,"25-50, Delhi, Business","70%, Negative"
Festival,6418,1,09:00 - 17:00,2024-10-29,2024-10-29,"25-50, Delhi, Business","75%, Neutral"
Festival,4882,4,14:00 - 20:00,2024-10-31,2024-11-03,"30-60, Bangalore, Education","85%, Positive"
Seminar,1101,3,09:00 - 17:00,2024-10-11,2024-10-13,"30-60, Bangalore, Education","70%, Negative"
Seminar,1086,1,10:00 - 18:00,2024-10-19,2024-10-19,"30-60, Bangalore, Education","75%, Neutral"
Seminar,1102,3,12:00 - 22:00,2025-01-16,2025-01-18,"18-25, Indore, Tech","80%, Negative"
Festival,2482,1,10:00 - 18:00,2024-10-27,2024-10-27,"30-60, Bangalore, Education","75%, Neutral"
Trade Show,1463,2,14:00 - 20:00,2024-10-08,2024-10-09,"18-35, Maharashtra, Arts","80%, Negative"
Festival,3043,2,12:00 - 22:00,2024-11-06,2024-11-07,"18-25, Indore, Tech","75%, Neutral"
Festival,4418,2,10:00 - 18:00,2024-12-17,2024-12-18,"18-35, Maharashtra, Arts","75%, Neutral"
Festival,582,2,12:00 - 22:00,2024-12-13,2024-12-14,"30-60, Bangalore, Education","70%, Negative"
Trade Show,506,4,12:00 - 22:00,2024-10-01,2024-10-04,"25-50, Delhi, Business","75%, Neutral"
Seminar,1024,4,12:00 - 22:00,2025-01-26,2025-01-29,"18-35, Maharashtra, Arts","95%, Positive"
Seminar,843,4,09:00 - 17:00,2024-10-14,2024-10-17,"25-50, Delhi, Business","70%, Negative"
Seminar,539,2,09:00 - 17:00,2024-12-13,2024-12-14,"18-35, Maharashtra, Arts","70%, Negative"
Conference,482,2,09:00 - 17:00,2024-12-25,2024-12-26,"18-35, Maharashtra, Arts","75%, Neutral"
Conference,1694,3,09:00 - 17:00,2025-01-17,2025-01-19,"20-45, Mumbai, Sports","75%, Neutral"
Conference,1256,2,09:00 - 17:00,2024-11-05,2024-11-06,"18-35, Maharashtra, Arts","75%, Neutral"
Conference,465,3,09:00 - 17:00,2024-12-10,2024-12-12,"18-25, Indore, Tech","75%, Neutral"
Trade Show,1914,2,10:00 - 18:00,2024-11-22,2024-11-23,"30-60, Bangalore, Education","95%, Positive"
Festival,752,3,12:00 - 22:00,2025-01-15,2025-01-17,"18-25, Indore, Tech","85%, Positive"
Seminar,220,1,09:00 - 17:00,2024-10-03,2024-10-03,"20-45, Mumbai, Sports","80%, Negative"
Conference,1449,4,09:00 - 17:00,2024-11-10,2024-11-13,"20-45, Mumbai, Sports","95%, Positive"
Festival,3292,4,09:00 - 17:00,2024-11-08,2024-11-11,"18-35, Maharashtra, Arts","75%, Neutral"
Conference,838,3,10:00 - 18:00,2024-12-15,2024-12-17,"18-25, Indore, Tech","75%, Neutral"
Festival,1925,4,10:00 - 18:00,2024-10-26,2024-10-29,"20-45, Mumbai, Sports","70%, Negative"
Trade Show,1553,2,12:00 - 22:00,2025-01-01,2025-01-02,"20-45, Mumbai, Sports","80%, Negative"
Trade Show,1258,1,14:00 - 20:00,2024-12-30,2024-12-30,"18-25, Indore, Tech","75%, Neutral"
Seminar,946,4,09:00 - 17:00,2025-01-06,2025-01-09,"30-60, Bangalore, Education","85%, Positive"
Conference,815,3,09:00 - 17:00,2024-11-29,2024-12-01,"18-35, Maharashtra, Arts","70%, Negative"
Trade Show,1444,4,10:00 - 18:00,2025-01-15,2025-01-18,"18-35, Maharashtra, Arts","80%, Negative"
Seminar,141,2,12:00 - 22:00,2024-11-08,2024-11-09,"18-35, Maharashtra, Arts","70%, Negative"
Conference,630,2,09:00 - 17:00,2024-10-11,2024-10-12,"25-50, Delhi, Business","95%, Positive"
Festival,5821,3,14:00 - 20:00,2024-10-05,2024-10-07,"25-50, Delhi, Business","95%, Positive"
Conference,422,3,10:00 - 18:00,2024-10-15,2024-10-17,"30-60, Bangalore, Education","85%, Positive"
Trade Show,1729,1,12:00 - 22:00,2024-12-02,2024-12-02,"18-35, Maharashtra, Arts","85%, Positive"
Festival,2060,1,09:00 - 17:00,2024-12-19,2024-12-19,"18-35, Maharashtra, Arts","85%, Positive"
Conference,645,2,10:00 - 18:00,2024-11-09,2024-11-10,"18-25, Indore, Tech","75%, Neutral"
Festival,5381,2,12:00 - 22:00,2024-11-09,2024-11-10,"25-50, Delhi, Business","85%, Positive"
Trade Show,1832,2,14:00 - 20:00,2024-12-13,2024-12-14,"30-60, Bangalore, Education","80%, Negative"
Festival,537,4,10:00 - 18:00,2025-01-23,2025-01-26,"25-50, Delhi, Business","70%, Negative"
Trade Show,651,3,12:00 - 22:00,2025-01-28,2025-01-30,"30-60, Bangalore, Education","95%, Positive"
Festival,6511,1,12:00 - 22:00,2025-01-24,2025-01-24,"30-60, Bangalore, Education","80%, Negative"
Conference,740,2,09:00 - 17:00,2025-01-16,2025-01-17,"30-60, Bangalore, Education","70%, Negative"
Trade Show,1794,3,10:00 - 18:00,2025-01-05,2025-01-07,"30-60, Bangalore, Education","75%, Neutral"
