Event Type,Event Size (Attendees),Event Duration (Days),Event Schedule (Start - End),"Participant Demographics (Age, Location, Interests)","Participant Engagement Metrics (Attendance, Feedback)"
Concert,3007,3,14:00 - 20:00,"30-50, Delhi, Education","75%, Neutral"
Workshop,8262,1,14:00 - 20:00,"25-40, Bhopal, Business","95%, Positive"
Workshop,6762,2,08:00 - 16:00,"30-50, Delhi, Education","75%, Neutral"
Festival,3381,2,08:00 - 16:00,"25-40, Bhopal, Business","90%, Very Positive"
Festival,2323,3,10:00 - 18:00,"30-50, Delhi, Education","85%, Positive"
Festival,3746,3,19:00 - 22:00,"30-50, Delhi, Education","80%, Negative"
Concert,658,1,12:00 - 22:00,"18-25, Indore, Tech","95%, Positive"
Festival,6341,1,19:00 - 22:00,"18-25, Indore, Tech","75%, Neutral"
Webinar,4370,2,14:00 - 20:00,"16-30, Banglore, Music","85%, Positive"
Workshop,9963,3,08:00 - 16:00,"30-50, Delhi, Education","90%, Very Positive"
Festival,9594,2,08:00 - 16:00,"18-35, Maharashtra, Arts","95%, Positive"
Conference,3318,4,10:00 - 18:00,"18-25, Indore, Tech","90%, Very Positive"
Concert,2998,3,08:00 - 16:00,"18-35, Maharashtra, Arts","95%, Positive"
Workshop,6940,2,12:00 - 22:00,"25-40, Bhopal, Business","75%, Neutral"
Festival,2346,2,14:00 - 20:00,"25-40, Bhopal, Business","90%, Very Positive"
Festival,1482,4,14:00 - 20:00,"20-45, Mumbai, Sports","90%, Very Positive"
Seminar,1080,4,14:00 - 20:00,"30-50, Delhi, Education","75%, Neutral"
Workshop,5415,2,10:00 - 18:00,"16-30, Banglore, Music","75%, Neutral"
Conference,7463,1,19:00 - 22:00,"25-40, Bhopal, Business","90%, Very Positive"
Workshop,8108,1,08:00 - 16:00,"16-30, Banglore, Music","70%, Mixed"
Festival,7841,2,08:00 - 16:00,"20-45, Mumbai, Sports","85%, Positive"
Concert,5689,3,08:00 - 16:00,"20-45, Mumbai, Sports","85%, Positive"
Festival,4076,2,12:00 - 22:00,"30-50, Delhi, Education","90%, Very Positive"
Conference,1218,2,09:00 - 17:00,"20-45, Mumbai, Sports","75%, Neutral"
Seminar,612,3,14:00 - 20:00,"30-50, Delhi, Education","70%, Mixed"
Trade Show,2636,2,10:00 - 18:00,"18-25, Indore, Tech","85%, Positive"
Concert,7854,4,09:00 - 17:00,"30-50, Delhi, Education","70%, Mixed"
Concert,6753,1,09:00 - 17:00,"20-45, Mumbai, Sports","85%, Positive"
Festival,4157,4,08:00 - 16:00,"16-30, Banglore, Music","95%, Positive"
Seminar,7771,4,08:00 - 16:00,"16-30, Banglore, Music","80%, Negative"
Festival,4888,1,14:00 - 20:00,"30-50, Delhi, Education","75%, Neutral"
Trade Show,2612,3,19:00 - 22:00,"20-45, Mumbai, Sports","80%, Negative"
Seminar,4434,4,10:00 - 18:00,"18-25, Indore, Tech","95%, Positive"
Workshop,341,1,10:00 - 18:00,"18-35, Maharashtra, Arts","95%, Positive"
Festival,6690,4,12:00 - 22:00,"16-30, Banglore, Music","80%, Negative"
Trade Show,4667,3,10:00 - 18:00,"20-45, Mumbai, Sports","90%, Very Positive"
Concert,462,2,12:00 - 22:00,"18-35, Maharashtra, Arts","70%, Mixed"
Seminar,7817,3,08:00 - 16:00,"25-40, Bhopal, Business","90%, Very Positive"
Webinar,6866,4,10:00 - 18:00,"18-35, Maharashtra, Arts","80%, Negative"
Festival,9654,4,19:00 - 22:00,"20-45, Mumbai, Sports","75%, Neutral"
Workshop,2778,3,14:00 - 20:00,"16-30, Banglore, Music","70%, Mixed"
Trade Show,4070,3,12:00 - 22:00,"20-45, Mumbai, Sports","90%, Very Positive"
Concert,1753,2,10:00 - 18:00,"16-30, Banglore, Music","70%, Mixed"
Festival,3400,1,09:00 - 17:00,"16-30, Banglore, Music","75%, Neutral"
Workshop,3778,3,14:00 - 20:00,"18-25, Indore, Tech","75%, Neutral"
Webinar,4241,4,09:00 - 17:00,"30-50, Delhi, Education","95%, Positive"
Workshop,7818,3,14:00 - 20:00,"25-40, Bhopal, Business","90%, Very Positive"
Workshop,5151,1,09:00 - 17:00,"25-40, Bhopal, Business","80%, Negative"
Trade Show,5248,4,09:00 - 17:00,"18-25, Indore, Tech","90%, Very Positive"
Webinar,6995,1,12:00 - 22:00,"18-25, Indore, Tech","75%, Neutral"
Seminar,2219,2,10:00 - 18:00,"25-40, Bhopal, Business","75%, Neutral"
Conference,3763,4,10:00 - 18:00,"25-40, Bhopal, Business","75%, Neutral"
Conference,4893,3,14:00 - 20:00,"25-40, Bhopal, Business","95%, Positive"
Conference,4257,1,19:00 - 22:00,"16-30, Banglore, Music","95%, Positive"
Festival,4723,4,09:00 - 17:00,"18-25, Indore, Tech","70%, Mixed"
Trade Show,9855,2,14:00 - 20:00,"25-40, Bhopal, Business","75%, Neutral"
Workshop,4114,4,19:00 - 22:00,"25-40, Bhopal, Business","85%, Positive"
Trade Show,4898,3,19:00 - 22:00,"16-30, Banglore, Music","95%, Positive"
Trade Show,3184,2,19:00 - 22:00,"25-40, Bhopal, Business","70%, Mixed"
Concert,3679,3,12:00 - 22:00,"30-50, Delhi, Education","95%, Positive"
Festival,3155,1,09:00 - 17:00,"25-40, Bhopal, Business","85%, Positive"
Concert,3033,4,08:00 - 16:00,"18-25, Indore, Tech","95%, Positive"
Seminar,5013,2,19:00 - 22:00,"30-50, Delhi, Education","85%, Positive"
Trade Show,2001,2,19:00 - 22:00,"20-45, Mumbai, Sports","95%, Positive"
Workshop,1420,1,14:00 - 20:00,"20-45, Mumbai, Sports","70%, Mixed"
Webinar,4454,3,12:00 - 22:00,"18-25, Indore, Tech","95%, Positive"
Concert,7417,1,09:00 - 17:00,"18-25, Indore, Tech","80%, Negative"
Concert,1967,2,10:00 - 18:00,"16-30, Banglore, Music","95%, Positive"
Trade Show,3025,3,08:00 - 16:00,"25-40, Bhopal, Business","80%, Negative"
Seminar,9806,1,19:00 - 22:00,"20-45, Mumbai, Sports","75%, Neutral"
Concert,4866,3,10:00 - 18:00,"25-40, Bhopal, Business","95%, Positive"
Webinar,9330,2,08:00 - 16:00,"18-35, Maharashtra, Arts","80%, Negative"
Festival,8460,2,19:00 - 22:00,"25-40, Bhopal, Business","90%, Very Positive"
Festival,3897,2,09:00 - 17:00,"25-40, Bhopal, Business","80%, Negative"
Seminar,4940,2,10:00 - 18:00,"30-50, Delhi, Education","85%, Positive"
Workshop,1988,2,14:00 - 20:00,"20-45, Mumbai, Sports","75%, Neutral"
Trade Show,7083,2,12:00 - 22:00,"18-35, Maharashtra, Arts","95%, Positive"
Festival,2631,2,10:00 - 18:00,"18-35, Maharashtra, Arts","85%, Positive"
Conference,7196,3,08:00 - 16:00,"16-30, Banglore, Music","90%, Very Positive"
Webinar,553,2,19:00 - 22:00,"25-40, Bhopal, Business","70%, Mixed"
Seminar,4348,2,14:00 - 20:00,"18-25, Indore, Tech","75%, Neutral"
Seminar,6677,2,09:00 - 17:00,"18-35, Maharashtra, Arts","70%, Mixed"
Festival,1967,3,09:00 - 17:00,"18-35, Maharashtra, Arts","70%, Mixed"
Concert,4015,3,14:00 - 20:00,"20-45, Mumbai, Sports","70%, Mixed"
Festival,1440,1,10:00 - 18:00,"30-50, Delhi, Education","70%, Mixed"
Workshop,1167,4,14:00 - 20:00,"25-40, Bhopal, Business","80%, Negative"
Seminar,5367,2,08:00 - 16:00,"30-50, Delhi, Education","95%, Positive"
Trade Show,1063,2,09:00 - 17:00,"16-30, Banglore, Music","70%, Mixed"
Webinar,9621,2,10:00 - 18:00,"16-30, Banglore, Music","80%, Negative"
Webinar,9382,4,19:00 - 22:00,"20-45, Mumbai, Sports","70%, Mixed"
Webinar,2151,2,19:00 - 22:00,"18-35, Maharashtra, Arts","95%, Positive"
Festival,7045,1,08:00 - 16:00,"25-40, Bhopal, Business","95%, Positive"
Webinar,5068,2,14:00 - 20:00,"30-50, Delhi, Education","80%, Negative"
Webinar,6776,2,12:00 - 22:00,"18-25, Indore, Tech","70%, Mixed"
Festival,7012,1,08:00 - 16:00,"20-45, Mumbai, Sports","75%, Neutral"
Seminar,8854,3,12:00 - 22:00,"25-40, Bhopal, Business","80%, Negative"
Seminar,8921,3,08:00 - 16:00,"25-40, Bhopal, Business","85%, Positive"
Concert,6239,2,08:00 - 16:00,"16-30, Banglore, Music","75%, Neutral"
Workshop,929,4,14:00 - 20:00,"30-50, Delhi, Education","75%, Neutral"
Festival,4302,3,10:00 - 18:00,"16-30, Banglore, Music","75%, Neutral"
Festival,5624,2,19:00 - 22:00,"20-45, Mumbai, Sports","90%, Very Positive"
Concert,4763,4,10:00 - 18:00,"18-25, Indore, Tech","70%, Mixed"
Workshop,9550,3,09:00 - 17:00,"20-45, Mumbai, Sports","85%, Positive"
Workshop,2217,1,14:00 - 20:00,"20-45, Mumbai, Sports","75%, Neutral"
Festival,777,2,09:00 - 17:00,"25-40, Bhopal, Business","90%, Very Positive"
Trade Show,9908,1,08:00 - 16:00,"20-45, Mumbai, Sports","80%, Negative"
Webinar,5534,3,14:00 - 20:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Webinar,940,4,09:00 - 17:00,"20-45, Mumbai, Sports","70%, Mixed"
Festival,7439,1,12:00 - 22:00,"30-50, Delhi, Education","70%, Mixed"
Concert,411,1,19:00 - 22:00,"20-45, Mumbai, Sports","80%, Negative"
Seminar,7642,4,12:00 - 22:00,"25-40, Bhopal, Business","70%, Mixed"
Trade Show,7405,4,19:00 - 22:00,"25-40, Bhopal, Business","95%, Positive"
Webinar,8846,3,09:00 - 17:00,"18-25, Indore, Tech","75%, Neutral"
Seminar,2388,1,12:00 - 22:00,"25-40, Bhopal, Business","80%, Negative"
Trade Show,159,3,12:00 - 22:00,"25-40, Bhopal, Business","70%, Mixed"
Workshop,476,1,10:00 - 18:00,"20-45, Mumbai, Sports","75%, Neutral"
Conference,6913,3,19:00 - 22:00,"25-40, Bhopal, Business","90%, Very Positive"
Webinar,8041,2,10:00 - 18:00,"25-40, Bhopal, Business","90%, Very Positive"
Concert,5859,4,08:00 - 16:00,"30-50, Delhi, Education","80%, Negative"
Festival,2190,1,19:00 - 22:00,"30-50, Delhi, Education","95%, Positive"
Festival,3324,2,19:00 - 22:00,"30-50, Delhi, Education","75%, Neutral"
Seminar,8543,1,19:00 - 22:00,"20-45, Mumbai, Sports","70%, Mixed"
Concert,9909,1,12:00 - 22:00,"18-25, Indore, Tech","95%, Positive"
Seminar,1608,2,08:00 - 16:00,"20-45, Mumbai, Sports","95%, Positive"
Seminar,2907,1,12:00 - 22:00,"25-40, Bhopal, Business","70%, Mixed"
Workshop,7291,2,10:00 - 18:00,"30-50, Delhi, Education","80%, Negative"
Concert,1665,1,08:00 - 16:00,"18-25, Indore, Tech","75%, Neutral"
Workshop,5899,3,10:00 - 18:00,"16-30, Banglore, Music","75%, Neutral"
Workshop,5533,3,19:00 - 22:00,"18-35, Maharashtra, Arts","85%, Positive"
Conference,2317,3,14:00 - 20:00,"16-30, Banglore, Music","80%, Negative"
Workshop,2847,2,14:00 - 20:00,"25-40, Bhopal, Business","85%, Positive"
Concert,9945,3,14:00 - 20:00,"18-35, Maharashtra, Arts","95%, Positive"
Workshop,5344,1,19:00 - 22:00,"16-30, Banglore, Music","70%, Mixed"
Trade Show,1626,4,09:00 - 17:00,"25-40, Bhopal, Business","75%, Neutral"
Webinar,994,2,12:00 - 22:00,"18-25, Indore, Tech","70%, Mixed"
Webinar,8541,1,14:00 - 20:00,"18-25, Indore, Tech","85%, Positive"
Conference,7823,1,08:00 - 16:00,"25-40, Bhopal, Business","70%, Mixed"
Workshop,5831,1,19:00 - 22:00,"20-45, Mumbai, Sports","75%, Neutral"
Webinar,5081,3,19:00 - 22:00,"18-25, Indore, Tech","70%, Mixed"
Festival,2505,3,08:00 - 16:00,"30-50, Delhi, Education","80%, Negative"
Trade Show,492,1,19:00 - 22:00,"16-30, Banglore, Music","75%, Neutral"
Workshop,1586,3,19:00 - 22:00,"20-45, Mumbai, Sports","80%, Negative"
Workshop,3408,3,10:00 - 18:00,"18-25, Indore, Tech","85%, Positive"
Conference,594,4,10:00 - 18:00,"18-35, Maharashtra, Arts","95%, Positive"
Concert,5255,2,19:00 - 22:00,"18-25, Indore, Tech","85%, Positive"
Webinar,7311,1,10:00 - 18:00,"30-50, Delhi, Education","80%, Negative"
Concert,8934,2,08:00 - 16:00,"30-50, Delhi, Education","75%, Neutral"
Trade Show,4637,1,08:00 - 16:00,"30-50, Delhi, Education","95%, Positive"
Seminar,2992,1,12:00 - 22:00,"25-40, Bhopal, Business","75%, Neutral"
Conference,5127,3,19:00 - 22:00,"20-45, Mumbai, Sports","80%, Negative"
Festival,7108,4,14:00 - 20:00,"20-45, Mumbai, Sports","70%, Mixed"
Festival,1847,3,10:00 - 18:00,"30-50, Delhi, Education","85%, Positive"
Workshop,9608,1,09:00 - 17:00,"18-25, Indore, Tech","95%, Positive"
Concert,9876,2,19:00 - 22:00,"25-40, Bhopal, Business","75%, Neutral"
Conference,431,3,19:00 - 22:00,"30-50, Delhi, Education","75%, Neutral"
Concert,6099,2,08:00 - 16:00,"16-30, Banglore, Music","95%, Positive"
Seminar,5563,2,14:00 - 20:00,"16-30, Banglore, Music","95%, Positive"
Conference,4128,1,19:00 - 22:00,"16-30, Banglore, Music","90%, Very Positive"
Conference,7559,1,08:00 - 16:00,"30-50, Delhi, Education","70%, Mixed"
Workshop,5190,3,09:00 - 17:00,"30-50, Delhi, Education","75%, Neutral"
Festival,3205,2,12:00 - 22:00,"18-25, Indore, Tech","90%, Very Positive"
Workshop,3579,4,14:00 - 20:00,"16-30, Banglore, Music","85%, Positive"
Conference,8373,3,12:00 - 22:00,"20-45, Mumbai, Sports","85%, Positive"
Festival,2680,1,14:00 - 20:00,"16-30, Banglore, Music","85%, Positive"
Conference,282,4,10:00 - 18:00,"16-30, Banglore, Music","95%, Positive"
Seminar,1983,3,10:00 - 18:00,"18-35, Maharashtra, Arts","95%, Positive"
Concert,3059,1,10:00 - 18:00,"20-45, Mumbai, Sports","85%, Positive"
Webinar,9928,1,14:00 - 20:00,"18-25, Indore, Tech","90%, Very Positive"
Conference,1419,3,10:00 - 18:00,"20-45, Mumbai, Sports","80%, Negative"
Seminar,7562,1,14:00 - 20:00,"18-25, Indore, Tech","95%, Positive"
Conference,3776,1,10:00 - 18:00,"18-35, Maharashtra, Arts","75%, Neutral"
Conference,5884,3,09:00 - 17:00,"16-30, Banglore, Music","85%, Positive"
Conference,4817,2,12:00 - 22:00,"30-50, Delhi, Education","70%, Mixed"
Seminar,4732,4,08:00 - 16:00,"20-45, Mumbai, Sports","85%, Positive"
Workshop,232,2,14:00 - 20:00,"18-25, Indore, Tech","85%, Positive"
Workshop,9782,2,08:00 - 16:00,"16-30, Banglore, Music","90%, Very Positive"
Trade Show,8969,3,12:00 - 22:00,"25-40, Bhopal, Business","85%, Positive"
Webinar,9105,1,12:00 - 22:00,"18-25, Indore, Tech","95%, Positive"
Concert,6844,1,09:00 - 17:00,"18-25, Indore, Tech","90%, Very Positive"
Conference,1024,4,14:00 - 20:00,"18-35, Maharashtra, Arts","75%, Neutral"
Trade Show,3736,1,19:00 - 22:00,"16-30, Banglore, Music","75%, Neutral"
Trade Show,7401,2,14:00 - 20:00,"18-35, Maharashtra, Arts","75%, Neutral"
Trade Show,1241,3,10:00 - 18:00,"16-30, Banglore, Music","70%, Mixed"
Festival,2370,4,10:00 - 18:00,"25-40, Bhopal, Business","80%, Negative"
Concert,6306,4,10:00 - 18:00,"25-40, Bhopal, Business","80%, Negative"
Seminar,9134,2,09:00 - 17:00,"25-40, Bhopal, Business","75%, Neutral"
Concert,9960,4,10:00 - 18:00,"16-30, Banglore, Music","90%, Very Positive"
Conference,6708,4,10:00 - 18:00,"16-30, Banglore, Music","80%, Negative"
Webinar,3324,1,09:00 - 17:00,"16-30, Banglore, Music","90%, Very Positive"
Concert,4682,1,10:00 - 18:00,"16-30, Banglore, Music","75%, Neutral"
Workshop,5819,1,10:00 - 18:00,"30-50, Delhi, Education","85%, Positive"
Seminar,5504,4,08:00 - 16:00,"18-35, Maharashtra, Arts","95%, Positive"
Webinar,6085,3,10:00 - 18:00,"18-25, Indore, Tech","95%, Positive"
Festival,3019,1,14:00 - 20:00,"20-45, Mumbai, Sports","70%, Mixed"
Workshop,9929,4,08:00 - 16:00,"16-30, Banglore, Music","75%, Neutral"
Workshop,7580,2,08:00 - 16:00,"20-45, Mumbai, Sports","70%, Mixed"
Conference,7512,2,08:00 - 16:00,"30-50, Delhi, Education","75%, Neutral"
Webinar,2679,3,14:00 - 20:00,"16-30, Banglore, Music","85%, Positive"
Conference,784,2,09:00 - 17:00,"18-25, Indore, Tech","70%, Mixed"
Festival,1305,2,08:00 - 16:00,"20-45, Mumbai, Sports","80%, Negative"
Webinar,6843,3,09:00 - 17:00,"25-40, Bhopal, Business","90%, Very Positive"
Webinar,3739,4,10:00 - 18:00,"20-45, Mumbai, Sports","95%, Positive"
Trade Show,6824,1,10:00 - 18:00,"30-50, Delhi, Education","95%, Positive"
Concert,4884,4,19:00 - 22:00,"16-30, Banglore, Music","70%, Mixed"
